Word;Excell;PPT;GA;HM
74,33333333;71;79,25;78,5;B
89,66666667;80,25;80;81,5;A
77,83333333;26,25;0;0;Gagal
81,75;74,25;84,5;78,5;B
84,9;74,75;79,5;75,9;B
77,05;70,625;75,5;70;B
76,16666667;73,625;77;80;B
85,26666667;71,625;80;78,6;B
84;70,375;81;75;B
80,58333333;80,875;76,75;80;B
77;75,75;70,75;71,5;B
73,41666667;70,625;70,5;70;B
79,9;70,625;70,75;73,5;B
74,41666667;70,75;76,15;71,5;B
70,2;70,125;70,15;70,6;B
71,46666667;71,175;70,95;71,5;B
75,46666667;72,75;72,75;77;B
74,96666667;73,5;75,5;80;B
71,63333333;25,375;54,25;75;Gagal
71,96666667;71,75;71;77;B
70;70,75;70,6;70;B
70,43333333;70,125;70,4;70;B
73,4;71,875;71,25;73,5;B
72,66666667;73,625;71,25;70;B
71,16666667;70,5;70,75;70;B
70,16666667;70,125;71,35;70;B
84,4;77;79;77;B
86,73333333;74;83,5;81,5;A
76,13333333;75,95;71,25;77;B
72,96666667;14;50,75;73,5;Gagal
70,5;10,5;50,75;0;Gagal
73,96666667;27,125;50,75;0;Gagal
73,9;70,125;72,25;71,5;B
71,96666667;10,15;50,75;77;Gagal
72,65;70,5;76;70,3;B
72,125;71,95;73,4;78,5;B
81,5;71,57575;70,5;73;B
83,45;81,2;76;74,5;B
76,15;71,07475;83,5;70;B
80,15;81,625;75,5;81,5;B
70,025;70,125;70,5;70,6;B
70,25;70,22575;70,5;72,9;B
0;0;0;0;Gagal
73,025;70,00075;81,5;71,5;B
70,05;70,6255;77;70;B
0;0;0;0;Gagal
89,15;74,0255;83;80;A
73,7;72,625;72,5;77;B
71,2;72,325;72;75;B
54,975;0;0;0;Gagal
0;0;0;0;Gagal
70,15;70,35075;75,9;71,5;B
70,275;70,875;71;76,5;B
90,25;82,3;89,5;81,5;A
70,825;70,125;70,3;75;B
89,125;81,375;78;80;A
71,475;0;0;0;Gagal
70,1;71,25;72;79,4;B
81,4;73,625;71;73,5;B
75,175;81;71,5;71,5;B
75,9;70;71,5;71,5;B
73,4;76,125;70;77;B
71,675;70;71,5;70;B
72;80,125;70,5;70;B
75,825;70,00075;70,5;70;B
71,4;70,00075;71,4;70;B
80,825;70,125;73,3;70;B
0;0;0;0;Gagal
84,975;70,125;71;75,9;B
74,275;71,375;70;75;B
70,625;70,49975;72,4;70;B
71,025;70,74975;72,5;70;B
80,425;70,74975;71;80;B
74,35;72,25;70,5;75;B
